customer_id,age,gender,education,employment_status, annual_income ,marital_status,number_of_children,region,annual_spending,credit_score,loyalty_years,payment_type,online_shopper,churn
62.00,35.00,Male,High School,Employed,38064.89,Single,0.00,Urban,9123.64,501.00,13.00,Credit Card,Yes,No
63.00,24.00,Male,Diploma,Employed,23338.84,Married,1.00,Suburban,6302.88,369.00,0.00,Debit Card,No,No
64.00,23.00,Male,High School,Self-Employed,26832.97,Single,0.00,Urban,2623.45,426.00,3.00,Credit Card,Yes,No
65.00,47.00,Female,Diploma,Employed,30813.11,Married,2.00,Rural,11734.43,457.00,26.00,Credit Card,Yes,No
66.00,54.00,Male,High School,Self-Employed,29994.75,Married,4.00,Rural,11914.43,439.00,31.00,Credit Card,Yes,No
67.00,37.00,Male,Bachelor,Self-Employed,66092.65,Married,2.00,Urban,22055.40,520.00,15.00,Mobile Money,Yes,No
68.00,50.00,Male,High School,Unemployed,5000.00,Married,4.00,Urban,2248.12,414.00,25.00,Cash,No,No
69.00,42.00,Male,Bachelor,Employed,38708.71,Married,2.00,Suburban,20794.97,474.00,17.00,Credit Card,No,No
70.00,30.00,Female,High School,Employed,33707.61,Single,0.00,Urban,10575.26,437.00,3.00,Credit Card,Yes,No
71.00,42.00,Female,High School,Unemployed,9391.61,Married,0.00,Rural,6422.86,426.00,23.00,Debit Card,No,No
72.00,56.00,Female,Master,Employed,73271.42,Married,2.00,Urban,25270.24,596.00,38.00,Cash,Yes,No
73.00,37.00,Female,Bachelor,Employed,56375.34,Married,0.00,Rural,20997.37,453.00,13.00,Credit Card,Yes,No
74.00,56.00,Female,High School,Employed,37633.88,Married,4.00,Urban,16037.32,463.00,33.00,Cash,Yes,No
75.00,18.00,Male,Bachelor,Student,10396.14,Single,0.00,Urban,4856.94,333.00,0.00,Credit Card,No,Yes
76.00,47.00,Male,Bachelor,Employed,63100.17,Married,1.00,Urban,16324.98,491.00,28.00,Cash,Yes,No
77.00,39.00,Female,Diploma,Employed,33794.43,Single,0.00,Rural,1000.00,405.00,13.00,Debit Card,No,No
78.00,34.00,Male,Diploma,Self-Employed,42250.64,Married,1.00,Urban,12240.43,452.00,10.00,Mobile Money,Yes,No
79.00,39.00,Male,Master,Employed,81008.32,Married,0.00,Urban,22853.07,523.00,20.00,Debit Card,Yes,No
80.00,18.00,Female,High School,Student,16845.35,Single,0.00,Urban,2792.39,393.00,0.00,Cash,Yes,No
81.00,35.00,Male,Diploma,Employed,44589.94,Married,1.00,Urban,10439.18,497.00,14.00,Credit Card,Yes,No
82.00,42.00,Male,Diploma,Self-Employed,40887.14,Married,3.00,Urban,10409.80,466.00,17.00,Cash,Yes,No
83.00,55.00,Male,Bachelor,Employed,47242.94,Married,4.00,Urban,13055.41,533.00,28.00,Debit Card,Yes,Yes
84.00,31.00,Male,Master,Unemployed,31624.51,Married,1.00,Rural,11225.83,425.00,10.00,Mobile Money,No,No
85.00,28.00,Male,Master,Unemployed,31181.32,Single,0.00,Urban,1000.00,451.00,8.00,Debit Card,No,No
86.00,31.00,Male,Bachelor,Self-Employed,65491.37,Married,1.00,Urban,28827.78,539.00,6.00,Mobile Money,No,No
87.00,48.00,Female,PhD,Unemployed,45735.08,Married,2.00,Urban,22349.73,464.00,26.00,Cash,No,No
88.00,41.00,Female,Bachelor,Employed,58671.20,Married,1.00,Urban,19813.58,520.00,18.00,Credit Card,No,No
89.00,31.00,Male,Bachelor,Student,5000.00,Single,0.00,Rural,1000.00,382.00,12.00,Debit Card,Yes,No
90.00,44.00,Female,PhD,Self-Employed,105794.95,Married,1.00,Urban,34134.17,589.00,21.00,Debit Card,No,No
91.00,39.00,Male,High School,Unemployed,9043.76,Single,0.00,Urban,4237.11,357.00,14.00,Cash,Yes,No
92.00,49.00,Male,Bachelor,Self-Employed,66691.19,Married,2.00,Rural,23078.78,534.00,30.00,Credit Card,No,No
93.00,29.00,Male,Bachelor,Employed,65000.03,Single,0.00,Urban,22485.47,488.00,10.00,Cash,No,No
94.00,34.00,Female,Master,Self-Employed,76349.69,Married,1.00,Urban,28162.23,505.00,12.00,Debit Card,Yes,No
95.00,33.00,Male,Master,Employed,59347.90,Married,0.00,Rural,22605.30,462.00,12.00,Credit Card,No,No
96.00,20.00,Female,Master,Self-Employed,88818.59,Single,0.00,Suburban,39689.07,589.00,0.00,Mobile Money,No,Yes
97.00,41.00,Female,Master,Employed,65944.12,Single,0.00,Urban,28842.79,493.00,19.00,Credit Card,No,No
98.00,41.00,Female,Bachelor,Employed,74388.05,Single,0.00,Suburban,35452.54,552.00,17.00,Credit Card,Yes,No
99.00,38.00,Female,High School,Student,13545.76,Single,0.00,Urban,9031.89,406.00,19.00,Credit Card,No,No
100.00,35.00,Female,High School,Student,5000.00,Married,1.00,Urban,1000.00,403.00,15.00,Credit Card,Yes,No
101.00,21.00,Male,Bachelor,Unemployed,26202.83,Single,0.00,Rural,10954.85,321.00,0.00,Mobile Money,Yes,Yes
102.00,32.00,Male,Diploma,Self-Employed,53843.29,Single,0.00,Rural,11569.20,521.00,9.00,Debit Card,No,No
103.00,33.00,Female,Diploma,Self-Employed,53069.58,Single,0.00,Suburban,27216.67,451.00,12.00,Cash,No,No
104.00,28.00,Female,Diploma,Self-Employed,47022.05,Married,0.00,Suburban,19945.19,422.00,1.00,Debit Card,No,No
105.00,36.00,Male,Master,Employed,73363.61,Married,2.00,Urban,31816.56,567.00,14.00,Credit Card,No,No
106.00,42.00,Male,Diploma,Student,5000.00,Married,1.00,Suburban,1000.00,404.00,17.00,Credit Card,No,No
107.00,60.00,Male,Master,Unemployed,31536.72,Married,4.00,Urban,14843.08,485.00,42.00,Mobile Money,Yes,No
108.00,40.00,Male,Master,Self-Employed,56511.50,Married,2.00,Suburban,20277.28,458.00,20.00,Credit Card,No,No
109.00,41.00,Male,Diploma,Student,5000.00,Married,2.00,Suburban,1000.00,373.00,16.00,Mobile Money,Yes,No
110.00,37.00,Female,Diploma,Employed,27234.32,Married,0.00,Suburban,15029.04,454.00,15.00,Cash,Yes,No
111.00,18.00,Female,Bachelor,Employed,50993.19,Single,0.00,Urban,18933.99,445.00,0.00,Credit Card,Yes,No
112.00,37.00,Male,Bachelor,Student,10407.06,Married,3.00,Urban,1000.00,340.00,13.00,Debit Card,Yes,No
113.00,38.00,Female,Diploma,Employed,30425.65,Married,1.00,Urban,12035.18,468.00,12.00,Cash,Yes,No
114.00,67.00,Female,High School,Self-Employed,13804.18,Married,2.00,Urban,1000.00,449.00,40.00,Cash,Yes,No
115.00,35.00,Male,Diploma,Employed,41656.53,Married,1.00,Urban,16819.25,487.00,17.00,Credit Card,No,Yes
116.00,41.00,Male,High School,Self-Employed,52691.52,Married,1.00,Rural,14745.58,482.00,17.00,Debit Card,Yes,No
117.00,37.00,Female,Diploma,Self-Employed,45189.76,Married,1.00,Suburban,16627.76,468.00,12.00,Cash,Yes,No
118.00,23.00,Female,Diploma,Self-Employed,55674.65,Single,0.00,Rural,23305.90,486.00,5.00,Credit Card,Yes,No
119.00,51.00,Male,Bachelor,Employed,67035.08,Married,2.00,Suburban,29562.69,526.00,33.00,Debit Card,Yes,No
120.00,47.00,Female,PhD,Employed,74799.70,Married,2.00,Urban,20754.57,526.00,20.00,Debit Card,No,No
121.00,47.00,Male,Bachelor,Self-Employed,62341.80,Married,1.00,Urban,14703.15,481.00,22.00,Cash,Yes,No
122.00,27.00,Male,Master,Student,5000.00,Married,2.00,Urban,2066.90,369.00,4.00,Mobile Money,Yes,No
123.00,54.00,Male,Bachelor,Employed,48549.78,Married,5.00,Suburban,22979.07,494.00,30.00,Cash,No,No
124.00,21.00,Male,Bachelor,Employed,68616.09,Single,0.00,Urban,35694.97,496.00,0.00,Credit Card,No,No
125.00,45.00,Female,Diploma,Employed,41789.44,Married,1.00,Urban,20698.92,466.00,18.00,Credit Card,No,No
126.00,64.00,Female,Diploma,Student,14310.59,Married,5.00,Rural,4233.92,470.00,42.00,Debit Card,Yes,No
127.00,26.00,Male,Master,Self-Employed,83648.81,Single,0.00,Urban,14055.84,531.00,4.00,Credit Card,Yes,No
128.00,31.00,Female,Master,Student,5000.00,Single,0.00,Suburban,5905.89,353.00,5.00,Credit Card,Yes,Yes
129.00,39.00,Female,Diploma,Employed,45424.93,Married,1.00,Urban,20400.31,501.00,19.00,Debit Card,Yes,No
130.00,31.00,Male,High School,Employed,40020.60,Married,0.00,Rural,14420.00,421.00,13.00,Credit Card,Yes,No
131.00,19.00,Female,Bachelor,Self-Employed,68538.99,Single,0.00,Suburban,26523.24,426.00,0.00,Debit Card,Yes,No
132.00,38.00,Male,Diploma,Employed,43912.99,Married,0.00,Urban,15943.39,457.00,11.00,Mobile Money,No,No
133.00,25.00,Female,High School,Employed,20121.59,Married,0.00,Rural,2753.41,339.00,6.00,Credit Card,No,Yes
134.00,43.00,Male,Master,Employed,75654.91,Married,5.00,Suburban,32179.87,542.00,16.00,Credit Card,No,No
135.00,26.00,Female,Bachelor,Employed,65768.11,Married,0.00,Rural,27985.89,464.00,3.00,Debit Card,No,No
136.00,56.00,Male,Bachelor,Employed,58236.68,Married,1.00,Rural,25375.45,559.00,31.00,Debit Card,Yes,No
137.00,28.00,Female,Master,Employed,55625.73,Married,0.00,Urban,19063.32,474.00,1.00,Credit Card,Yes,No
138.00,34.00,Female,Bachelor,Employed,68085.04,Married,2.00,Urban,35735.06,453.00,10.00,Credit Card,Yes,No
139.00,47.00,Male,Bachelor,Employed,47441.41,Married,1.00,Suburban,17556.91,492.00,29.00,Cash,No,No
140.00,23.00,Male,Diploma,Self-Employed,51102.29,Married,0.00,Suburban,13321.82,516.00,0.00,Mobile Money,No,No
141.00,40.00,Male,Diploma,Employed,47623.81,Single,0.00,Rural,12690.62,507.00,16.00,Cash,Yes,No
142.00,53.00,Female,Bachelor,Employed,63636.95,Single,0.00,Urban,15582.88,568.00,34.00,Credit Card,Yes,No
143.00,18.00,Male,Diploma,Employed,25599.55,Single,0.00,Urban,5597.16,440.00,0.00,Credit Card,Yes,No
144.00,40.00,Female,High School,Employed,30937.74,Single,0.00,Suburban,11997.19,463.00,17.00,Mobile Money,Yes,Yes
145.00,41.00,Male,High School,Self-Employed,36408.17,Single,0.00,Urban,16561.58,441.00,17.00,Credit Card,No,No
146.00,47.00,Male,Diploma,Unemployed,23512.23,Single,0.00,Urban,10862.11,472.00,24.00,Debit Card,Yes,No
147.00,23.00,Male,Diploma,Unemployed,15669.79,Married,0.00,Urban,5258.30,400.00,5.00,Cash,No,No
148.00,22.00,Male,Bachelor,Employed,66584.94,Single,0.00,Urban,23870.83,464.00,0.00,Cash,Yes,No
149.00,44.00,Female,Diploma,Employed,44319.34,Married,2.00,Suburban,14060.74,458.00,24.00,Mobile Money,Yes,Yes
150.00,41.00,Female,High School,Employed,29406.67,Married,3.00,Urban,7266.23,445.00,19.00,Cash,Yes,No
151.00,41.00,Male,Bachelor,Student,12550.88,Single,0.00,Urban,2391.47,359.00,16.00,Credit Card,No,No
152.00,42.00,Female,Master,Self-Employed,96188.78,Married,2.00,Suburban,26912.77,558.00,23.00,Debit Card,No,No
153.00,29.00,Male,High School,Employed,19624.55,Single,0.00,Rural,6622.53,404.00,8.00,Debit Card,No,Yes
154.00,40.00,Female,Bachelor,Employed,62247.64,Single,0.00,Urban,20253.22,463.00,18.00,Cash,Yes,No
155.00,41.00,Male,Bachelor,Employed,49979.07,Married,2.00,Suburban,19785.35,481.00,15.00,Credit Card,No,No
156.00,29.00,Female,Bachelor,Employed,48260.17,Married,1.00,Urban,7744.66,406.00,10.00,Credit Card,Yes,No
157.00,60.00,Female,High School,Unemployed,17187.41,Married,4.00,Rural,4146.48,413.00,37.00,Debit Card,Yes,No
158.00,43.00,Male,Master,Employed,62935.30,Married,2.00,Rural,27787.69,449.00,19.00,Debit Card,Yes,No
159.00,23.00,Female,Bachelor,Self-Employed,69016.60,Single,0.00,Urban,37019.91,503.00,0.00,Credit Card,No,No
160.00,45.00,Male,Master,Employed,66088.47,Married,2.00,Suburban,19001.75,503.00,26.00,Mobile Money,Yes,No
161.00,26.00,Male,High School,Employed,11144.51,Married,0.00,Urban,8396.78,437.00,0.00,Cash,Yes,No
162.00,47.00,Male,Bachelor,Employed,58821.73,Married,2.00,Rural,11345.09,496.00,20.00,Debit Card,No,No
163.00,51.00,Male,Bachelor,Self-Employed,67010.57,Married,3.00,Urban,18664.63,530.00,30.00,Cash,Yes,No
164.00,28.00,Male,Diploma,Employed,24719.36,Married,1.00,Suburban,4105.62,400.00,7.00,Mobile Money,No,No
165.00,49.00,Male,Diploma,Employed,34411.28,Married,1.00,Suburban,11431.16,428.00,26.00,Mobile Money,No,No
166.00,42.00,Male,Bachelor,Unemployed,5000.00,Married,3.00,Urban,1560.34,401.00,23.00,Cash,No,No
167.00,47.00,Male,High School,Employed,35853.52,Married,2.00,Urban,7603.27,467.00,21.00,Credit Card,Yes,No
168.00,60.00,Female,Bachelor,Employed,66103.95,Single,0.00,Urban,31882.02,552.00,38.00,Mobile Money,Yes,No
169.00,35.00,Female,High School,Employed,36795.92,Married,0.00,Suburban,14211.87,431.00,13.00,Mobile Money,Yes,No
170.00,28.00,Male,High School,Self-Employed,43913.04,Married,1.00,Suburban,12183.60,442.00,4.00,Credit Card,No,No
171.00,27.00,Male,Bachelor,Employed,50857.36,Single,0.00,Rural,17716.24,415.00,4.00,Credit Card,No,No
172.00,28.00,Male,High School,Self-Employed,40375.42,Single,0.00,Suburban,11676.35,459.00,1.00,Cash,Yes,No
173.00,37.00,Female,PhD,Employed,89927.45,Married,0.00,Suburban,23945.97,548.00,16.00,Credit Card,No,No
174.00,42.00,Female,Master,Employed,71482.52,Married,3.00,Urban,31287.82,571.00,19.00,Debit Card,No,Yes
175.00,41.00,Male,Bachelor,Self-Employed,73659.45,Married,1.00,Suburban,30639.18,542.00,22.00,Credit Card,Yes,No
176.00,47.00,Male,Master,Self-Employed,93403.90,Married,2.00,Urban,34326.96,577.00,21.00,Debit Card,No,No
177.00,38.00,Male,Master,Unemployed,17881.95,Single,0.00,Urban,2270.59,416.00,17.00,Credit Card,Yes,No
178.00,55.00,Male,Diploma,Employed,28738.84,Single,0.00,Suburban,15775.01,485.00,31.00,Mobile Money,No,No
179.00,34.00,Female,Master,Employed,68500.76,Single,0.00,Urban,34917.07,528.00,8.00,Credit Card,Yes,No
180.00,70.00,Female,High School,Self-Employed,34245.81,Married,5.00,Urban,7526.56,500.00,46.00,Cash,Yes,No
181.00,45.00,Male,Diploma,Employed,42276.78,Married,4.00,Rural,17989.39,489.00,25.00,Credit Card,No,No
182.00,27.00,Female,Bachelor,Employed,61663.97,Single,0.00,Suburban,12749.78,472.00,8.00,Debit Card,Yes,No
183.00,25.00,Male,Bachelor,Employed,39683.34,Single,0.00,Urban,10392.80,480.00,2.00,Credit Card,No,No
184.00,43.00,Male,High School,Employed,24632.69,Married,2.00,Urban,9941.04,438.00,23.00,Debit Card,Yes,No
185.00,35.00,Female,Diploma,Employed,32288.89,Married,0.00,Rural,14592.01,475.00,12.00,Debit Card,Yes,No
186.00,46.00,Female,Bachelor,Student,21007.15,Married,1.00,Urban,12370.05,457.00,22.00,Mobile Money,No,No
187.00,43.00,Male,Diploma,Unemployed,10333.03,Married,0.00,Rural,1000.00,420.00,22.00,Debit Card,No,No
188.00,37.00,Male,Bachelor,Student,6896.93,Married,1.00,Urban,4749.61,421.00,15.00,Credit Card,No,No
189.00,27.00,Female,Bachelor,Student,15306.41,Married,1.00,Suburban,7141.14,395.00,9.00,Cash,No,No
190.00,19.00,Female,High School,Employed,25255.95,Married,0.00,Urban,14957.36,346.00,1.00,Cash,Yes,No
191.00,32.00,Male,High School,Employed,29878.44,Single,0.00,Suburban,5800.75,413.00,7.00,Cash,Yes,No
192.00,48.00,Male,Bachelor,Employed,69512.57,Single,0.00,Suburban,21923.61,533.00,25.00,Debit Card,Yes,No
193.00,40.00,Male,Diploma,Unemployed,26290.32,Married,3.00,Suburban,16371.89,439.00,22.00,Credit Card,No,No
194.00,23.00,Female,High School,Employed,26740.93,Single,0.00,Suburban,11456.69,425.00,1.00,Cash,Yes,No
195.00,40.00,Female,Diploma,Employed,38541.11,Married,1.00,Urban,16850.54,436.00,18.00,Debit Card,No,No
196.00,42.00,Male,Diploma,Employed,35047.77,Married,2.00,Rural,14062.85,396.00,17.00,Credit Card,No,No
197.00,27.00,Female,High School,Employed,14593.08,Single,0.00,Urban,2477.76,369.00,9.00,Credit Card,Yes,No
198.00,39.00,Female,Bachelor,Employed,63289.51,Single,0.00,Urban,17614.41,519.00,21.00,Debit Card,No,No
199.00,38.00,Male,Bachelor,Employed,74370.74,Single,0.00,Urban,38677.55,523.00,20.00,Credit Card,Yes,No
200.00,24.00,Male,Bachelor,Unemployed,12952.40,Married,0.00,Urban,2304.85,345.00,0.00,Credit Card,Yes,Yes
201.00,42.00,Female,Master,Employed,63465.65,Married,2.00,Urban,27734.07,526.00,21.00,Mobile Money,No,No
202.00,44.00,Female,High School,Student,5000.00,Married,2.00,Suburban,1000.00,407.00,20.00,Mobile Money,No,No
203.00,50.00,Female,Diploma,Employed,40680.37,Married,4.00,Suburban,23981.10,476.00,23.00,Debit Card,Yes,No
204.00,50.00,Female,Bachelor,Student,5000.00,Single,0.00,Urban,1000.00,494.00,28.00,Mobile Money,No,Yes
205.00,21.00,Male,Bachelor,Employed,51332.17,Single,0.00,Rural,16345.82,398.00,0.00,Debit Card,Yes,No
206.00,26.00,Male,Bachelor,Self-Employed,74119.18,Single,0.00,Urban,20545.22,474.00,4.00,Cash,No,No
207.00,44.00,Female,Bachelor,Employed,56019.05,Married,1.00,Rural,21586.59,518.00,23.00,Debit Card,No,No
208.00,44.00,Male,Bachelor,Self-Employed,76163.09,Married,3.00,Urban,16470.26,540.00,20.00,Cash,No,No
209.00,44.00,Female,High School,Unemployed,11918.14,Married,5.00,Urban,6784.59,398.00,21.00,Credit Card,Yes,No
210.00,70.00,Female,Bachelor,Employed,46288.66,Married,4.00,Suburban,19219.61,504.00,49.00,Mobile Money,Yes,No
211.00,44.00,Female,Bachelor,Employed,50391.89,Single,0.00,Suburban,9021.71,448.00,26.00,Debit Card,Yes,No
212.00,51.00,Male,PhD,Employed,91987.30,Married,4.00,Suburban,46945.64,611.00,27.00,Credit Card,Yes,No
213.00,49.00,Female,Bachelor,Employed,46019.29,Married,1.00,Suburban,26076.59,486.00,24.00,Credit Card,No,No
214.00,45.00,Female,Bachelor,Employed,44981.44,Married,2.00,Suburban,8241.85,503.00,23.00,Mobile Money,No,No
215.00,34.00,Female,Bachelor,Self-Employed,56462.40,Married,0.00,Rural,27555.37,433.00,7.00,Credit Card,No,No
216.00,47.00,Male,Master,Employed,74126.44,Married,3.00,Urban,25725.04,578.00,21.00,Credit Card,No,No
217.00,28.00,Male,PhD,Self-Employed,105070.08,Married,1.00,Urban,41739.49,584.00,3.00,Mobile Money,Yes,No
218.00,35.00,Male,Bachelor,Unemployed,25959.53,Single,0.00,Rural,6199.03,404.00,16.00,Credit Card,No,No
219.00,32.00,Male,Bachelor,Self-Employed,58828.64,Single,0.00,Urban,27165.65,498.00,8.00,Cash,Yes,No
220.00,38.00,Male,High School,Employed,10340.80,Married,1.00,Urban,5765.97,412.00,13.00,Debit Card,Yes,No
221.00,65.00,Female,Bachelor,Employed,53954.36,Married,4.00,Urban,17302.73,564.00,44.00,Credit Card,No,No
222.00,18.00,Female,Bachelor,Employed,68180.44,Married,0.00,Suburban,21978.24,459.00,0.00,Debit Card,No,No
223.00,46.00,Female,Bachelor,Employed,55276.56,Single,0.00,Suburban,21564.44,470.00,28.00,Cash,No,No
224.00,18.00,Female,High School,Employed,19023.25,Single,0.00,Urban,4613.16,331.00,0.00,Credit Card,Yes,No
225.00,32.00,Male,Bachelor,Student,5000.00,Married,2.00,Urban,1000.00,355.00,7.00,Credit Card,Yes,Yes
226.00,51.00,Female,Diploma,Self-Employed,57583.22,Married,0.00,Urban,9316.05,464.00,30.00,Credit Card,Yes,No
227.00,38.00,Male,Bachelor,Employed,48540.51,Married,2.00,Urban,16562.66,492.00,20.00,Credit Card,No,No
228.00,25.00,Male,High School,Employed,42334.36,Married,3.00,Urban,14323.13,421.00,5.00,Mobile Money,No,No
